Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2,Pressure PRED (bar),OriginalIndex,Fold,Replicate
co2,124-38-9,diethyl-succinate,123-25-1,0.2642,40,0.7358,20.433,C(=O)=O,CCOC(=O)CCC(=O)OCC,18.953836,941,1,1
co2,124-38-9,propylene-carbonate,108-32-7,0.0542,40,0.9458,5.19,C(=O)=O,CC1COC(=O)O1,5.7522316,1085,1,1
co2,124-38-9,NMP,872-50-4,0.2346465999999999,25,0.7653534,16.6,C(=O)=O,CN1CCCC1=O,15.736668,1006,1,1
co2,124-38-9,2-ethoxyethanol,110-80-5,0.3202,35,0.6798,33.734,C(=O)=O,CCOCCO,34.87631,761,1,1
co2,124-38-9,ethanol,64-17-5,0.954,25,0.0459999999999999,62.2,C(=O)=O,CCO,64.90237,290,1,1
co2,124-38-9,ethyl-pyrrolidinone,2687-91-4,0.415,60,0.585,44.8,C(=O)=O,CCN1CCCC1=O,45.133373,398,1,1
co2,124-38-9,m-xylene,108-38-3,0.6015,40,0.3984999999999999,70.1,C(=O)=O,CC1=CC(=CC=C1)C,57.578236,192,1,1
co2,124-38-9,ethanol,64-17-5,0.924,25,0.0759999999999999,60.8,C(=O)=O,CCO,64.061104,289,1,1
co2,124-38-9,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.318,60,0.6819999999999999,32.02,C(=O)=O,COCCOCCOCCO,35.002266,887,1,1
co2,124-38-9,acetonitrile,75-05-8,0.396,35,0.604,35.9,C(=O)=O,CC#N,40.813927,88,1,1
co2,124-38-9,n-butanol,71-36-3,0.3367,40,0.6633,52.3,C(=O)=O,CCCCO,54.146782,597,1,1
co2,124-38-9,2-ethoxyethanol,110-80-5,0.2525,45,0.7475,30.922,C(=O)=O,CCOCCO,32.13069,773,1,1
co2,124-38-9,acetone,67-64-1,0.8959999999999999,25,0.104,54.7,C(=O)=O,CC(=O)C,58.48102,51,1,1
co2,124-38-9,THF,109-99-9,0.5061,60,0.4939,56.0,C(=O)=O,C1CCOC1,55.335743,260,1,1
co2,124-38-9,n-butanol,71-36-3,0.0484999999999999,40,0.9515,8.5,C(=O)=O,CCCCO,9.696207,589,1,1
co2,124-38-9,n-butanol,71-36-3,0.0883999999999999,20,0.9116,12.3,C(=O)=O,CCCCO,12.044397,568,1,1
co2,124-38-9,acetone,67-64-1,0.3779999999999999,25,0.6220000000000001,20.2,C(=O)=O,CC(=O)C,27.74665,44,1,1
co2,124-38-9,2-methoxyethanol,109-86-4,0.4256,25,0.5744,40.717,C(=O)=O,COCCO,42.77636,716,1,1
co2,124-38-9,dimethyl-carbonate,616-38-6,0.0139999999999999,25,0.986,0.736,C(=O)=O,COC(=O)OC,0.3755932,307,1,1
co2,124-38-9,dimethyl-carbonate,616-38-6,0.0375,45,0.9625,2.77,C(=O)=O,COC(=O)OC,3.2243881,323,1,1
co2,124-38-9,1-pentanol,71-41-0,0.3832,20,0.6168,42.0,C(=O)=O,CCCCCO,41.786205,668,1,1
co2,124-38-9,octamethyl-cyclotetrasiloxane,556-67-2,0.6339,40,0.3661,27.678,C(=O)=O,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,29.642857,983,1,1
co2,124-38-9,o-xylene,95-47-6,0.4856,40,0.5144,49.3,C(=O)=O,CC1=CC=CC=C1C,49.61734,210,1,1
co2,124-38-9,1-4-dioxane,123-91-1,0.4826,40,0.5174000000000001,33.9,C(=O)=O,C1COCCO1,34.24129,861,1,1
co2,124-38-9,THF,109-99-9,0.941,25,0.059,57.25,C(=O)=O,C1CCOC1,60.991653,243,1,1
co2,124-38-9,dimethyl-carbonate,616-38-6,0.0519,25,0.9481,2.799,C(=O)=O,COC(=O)OC,3.8557167,308,1,1
co2,124-38-9,chloroform,67-66-3,0.6713,40,0.3287,55.94,C(=O)=O,C(Cl)(Cl)Cl,56.2972,174,1,1
co2,124-38-9,gamma-butyrolactone,96-48-0,0.7170000000000001,40,0.2829999999999999,82.8,C(=O)=O,C1CC(=O)OC1,71.61155,825,1,1
co2,124-38-9,dimethyl-ether,115-10-6,0.588,20,0.412,29.65,C(=O)=O,COC,32.390987,425,1,1
co2,124-38-9,2-butanone,78-93-3,0.414,25,0.5860000000000001,25.59,C(=O)=O,CCC(=O)C,26.49445,70,1,1
co2,124-38-9,acetonitrile,75-05-8,0.184,35,0.8160000000000001,17.4,C(=O)=O,CC#N,18.865402,86,1,1
co2,124-38-9,DMF,68-12-2,0.4,50,0.6,48.8,C(=O)=O,CN(C)C=O,48.395424,158,1,1
co2,124-38-9,benzene,71-43-2,0.602,25,0.398,42.9,C(=O)=O,C1=CC=CC=C1,48.016766,449,1,1
co2,124-38-9,2-ethoxyethanol,110-80-5,0.0403,25,0.9597,3.375,C(=O)=O,CCOCCO,4.0229435,743,1,1
co2,124-38-9,2-methoxyethanol,109-86-4,0.215,35,0.785,26.625,C(=O)=O,COCCO,27.762579,723,1,1
co2,124-38-9,sulfolane,126-33-0,0.0113339,40,0.9886661,1.218,C(=O)=O,C1CCS(=O)(=O)C1,2.6079597,1048,1,1
co2,124-38-9,toluene,108-88-3,0.601,30,0.399,48.8,C(=O)=O,CC1=CC=CC=C1,49.221664,504,1,1
co2,124-38-9,1-4-dioxane,123-91-1,0.0886,40,0.9114,9.3,C(=O)=O,C1COCCO1,7.6521816,855,1,1
co2,124-38-9,propanol,71-23-8,0.7423000000000001,40,0.2576999999999999,78.6,C(=O)=O,CCCO,80.92196,566,1,1
co2,124-38-9,toluene,108-88-3,0.601,40,0.399,58.2,C(=O)=O,CC1=CC=CC=C1,60.129753,514,1,1
co2,124-38-9,THF,109-99-9,0.8893000000000001,60,0.1106999999999999,89.3,C(=O)=O,C1CCOC1,98.40619,270,1,1
co2,124-38-9,acetonitrile,75-05-8,0.395,75,0.605,60.7,C(=O)=O,CC#N,67.65927,113,1,1
co2,124-38-9,sulfolane,126-33-0,0.1092108,50,0.8907892,17.28,C(=O)=O,C1CCS(=O)(=O)C1,17.072397,1061,1,1
co2,124-38-9,1-4-dioxane,123-91-1,0.7334,30,0.2665999999999999,47.6,C(=O)=O,C1COCCO1,47.62674,848,1,1
co2,124-38-9,n-hexane,110-54-3,0.81,30,0.1899999999999999,55.8,C(=O)=O,CCCCCC,58.548885,481,1,1
co2,124-38-9,acetonitrile,75-05-8,0.114,55,0.886,17.7,C(=O)=O,CC#N,15.03974,96,1,1
co2,124-38-9,THF,109-99-9,0.983,25,0.017,61.47,C(=O)=O,C1CCOC1,64.64217,244,1,1
co2,124-38-9,acetonitrile,75-05-8,0.114,75,0.886,22.0,C(=O)=O,CC#N,18.718569,109,1,1
co2,124-38-9,DMF,68-12-2,0.0962,21,0.9038,5.6,C(=O)=O,CN(C)C=O,8.497206,139,1,1
co2,124-38-9,n-butanol,71-36-3,0.4222999999999999,40,0.5777000000000001,63.6,C(=O)=O,CCCCO,63.13636,599,1,1
co2,124-38-9,1-2-dimethoxyethane,110-71-4,0.7169,50,0.2831,40.2,C(=O)=O,COCCOC,61.0082,693,1,1
co2,124-38-9,n-butanol,71-36-3,0.4927,20,0.5073,49.5,C(=O)=O,CCCCO,49.203445,572,1,1
co2,124-38-9,acetone,67-64-1,0.8,30,0.1999999999999999,48.4,C(=O)=O,CC(=O)C,57.51998,56,1,1
co2,124-38-9,n-butanol,71-36-3,0.254,20,0.746,30.9,C(=O)=O,CCCCO,31.390306,570,1,1
co2,124-38-9,2-methoxyethanol,109-86-4,0.237,25,0.763,22.632,C(=O)=O,COCCO,25.568123,712,1,1
co2,124-38-9,toluene,108-88-3,0.502,40,0.498,49.2,C(=O)=O,CC1=CC=CC=C1,53.288284,513,1,1
co2,124-38-9,p-xylene,106-42-3,0.8377,60,0.1623,94.7,C(=O)=O,CC1=CC=C(C=C1)C,95.982895,237,1,1
co2,124-38-9,methanol,67-56-1,0.6579999999999999,25,0.3420000000000001,55.47,C(=O)=O,CO,57.903652,1034,1,1
co2,124-38-9,cyclohexane,110-82-7,0.973,30,0.027,64.4,C(=O)=O,C1CCCCC1,69.71559,31,1,1
co2,124-38-9,propylene-carbonate,108-32-7,0.0936999999999999,40,0.9063,9.2,C(=O)=O,CC1COC(=O)O1,10.358749,1089,1,1
co2,124-38-9,acetonitrile,75-05-8,0.888,55,0.1119999999999999,92.9,C(=O)=O,CC#N,98.03876,107,1,1
co2,124-38-9,2-ethoxyethanol,110-80-5,0.0253,35,0.9747,2.671,C(=O)=O,CCOCCO,3.0698986,753,1,1
co2,124-38-9,ethyl-pyrrolidinone,2687-91-4,0.897,60,0.1029999999999999,125.7,C(=O)=O,CCN1CCCC1=O,100.38791,404,1,1
co2,124-38-9,ethanol,64-17-5,0.289,25,0.7110000000000001,38.2,C(=O)=O,CCO,38.642426,280,1,1
co2,124-38-9,dimethyl-ether,115-10-6,0.492,40,0.508,37.23,C(=O)=O,COC,37.996014,439,1,1
co2,124-38-9,n-heptane,142-82-5,0.802,30,0.1979999999999999,57.8,C(=O)=O,CCCCCCC,58.142242,531,1,1
co2,124-38-9,n-butanol,71-36-3,0.6394,30,0.3606,64.8,C(=O)=O,CCCCO,65.59874,583,1,1
co2,124-38-9,ethanol,64-17-5,0.1692,20,0.8308,21.4,C(=O)=O,CCO,22.71754,273,1,1
co2,124-38-9,DMF,68-12-2,0.2402,21,0.7598,15.1,C(=O)=O,CN(C)C=O,17.620914,141,1,1
co2,124-38-9,benzene,71-43-2,0.8029999999999999,25,0.197,51.4,C(=O)=O,C1=CC=CC=C1,55.986115,451,1,1
