Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2,Pressure PRED (bar),OriginalIndex,Fold,Replicate
h2,1333-74-0,chlorobenzene,108-90-7,0.004,23,0.996,14.1,[HH],C1=CC=C(C=C1)Cl,15.46159,73,1,1
h2,1333-74-0,toluene,108-88-3,0.0146,30,0.9854,44.13,[HH],CC1=CC=CC=C1,36.070953,231,1,1
h2,1333-74-0,n-butyl acetate,123-86-4,0.0084,18,0.9916,20.7,[HH],CCCCOC(=O)C,12.774788,175,1,1
methane,74-82-8,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0045,40,0.9955,43.54,C,COCCOCCOCCO,26.34476,237,1,1
n2,7727-37-9,ethyl acetate,141-78-6,0.0007,30,0.9993,1.3053,N#N,CCOC(=O)C,6.4361534,424,1,1
h2,1333-74-0,ethanol,64-17-5,0.0057,18,0.9943,25.6,[HH],CCO,10.854507,155,1,1
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0271,35,0.9729,90.3,[HH],CC(=C)C1=CC=CC=C1,82.95707,55,1,1
methane,74-82-8,toluene,108-88-3,0.055,40,0.945,23.8,C,CC1=CC=CC=C1,38.342934,322,1,1
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0403,50,0.9597,98.2,[HH],COCCOC,96.499954,9,1,1
h2,1333-74-0,cyclohexane,110-82-7,0.0113,30,0.9887,26.87,[HH],C1CCCCC1,25.068409,104,1,1
methane,74-82-8,acetone,67-64-1,0.1116,25,0.8884,54.9,C,CC(=O)C,58.822117,261,1,1
n2,7727-37-9,acetone,67-64-1,0.037,50,0.963,66.5,N#N,CC(=O)C,81.669716,351,1,1
h2,1333-74-0,n-propionaldehyde,123-38-6,0.089,20,0.911,125.0,[HH],CCC=O,163.13812,192,1,1
h2,1333-74-0,cyclohexane,110-82-7,0.0071,30,0.9929,17.16,[HH],C1CCCCC1,17.547207,101,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0488,45,0.9512,49.0,N#N,COC,53.760056,406,1,1
n2,7727-37-9,n-heptane,142-82-5,0.0482,40,0.9518,39.1,N#N,CCCCCCC,39.379093,452,1,1
h2,1333-74-0,acetone,67-64-1,0.0209,25,0.9791,73.4,[HH],CC(=O)C,50.12267,30,1,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.063,33,0.937,72.10000000000001,[HH],COC,93.317856,137,1,1
n2,7727-37-9,toluene,108-88-3,0.0151,30,0.9849,29.495,N#N,CC1=CC=CC=C1,35.101845,487,1,1
methane,74-82-8,acetone,67-64-1,0.0509,50,0.9491,30.7,C,CC(=O)C,44.12951,266,1,1
methane,74-82-8,ethanol,64-17-5,0.092,40,0.908,84.3,C,CCO,89.79504,289,1,1
n2,7727-37-9,toluene,108-88-3,0.018,50,0.982,36.4,N#N,CC1=CC=CC=C1,53.149136,491,1,1
h2,1333-74-0,benzene,71-43-2,0.0127,30,0.9873,46.01000000000001,[HH],C1=CC=CC=C1,25.73109,72,1,1
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0407,50,0.9593,130.0,[HH],CC(=C)C1=CC=CC=C1,118.12266,63,1,1
