Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure COSMO (bar),SMILES 1,SMILES 2
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.1,0,0.9,2.01237353968,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.2,0,0.8,4.24866752727,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.3,0,0.7,6.75670883971,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.4,0,0.6,9.59437245388,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.5,0,0.5,12.8303795142,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.6,0,0.4,16.53872449193,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.7,0,0.3,20.77823505158,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.8,0,0.2,25.52733155643,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.9,0,0.1,30.51320888507,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.1,25,0.9,3.89899396546,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.2,25,0.8,8.19311915012,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.3,25,0.7,12.96666212824,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.4,25,0.6,18.31573752446,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.5,25,0.5,24.35268314687,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.6,25,0.4,31.19567609679,C(=O)=O,CC(C)(C)OCC1CO1
co2,124-38-9,"((1,1-dimethylethoxy)methyl)oxirane",7665-72-7,0.7,25,0.3,38.9335926446,C(=O)=O,CC(C)(C)OCC1CO1
